frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
7134,245.019062,0,OK,97.17,-0.714243,0.281775,2.157656,-0.704592,0.223247,2.125607,-0.688379,0.116957,2.061433,-0.670075,0.013413,1.993445,-0.645126,-0.121392,1.903909,-0.657468,-0.144933,1.737380,-0.651388,-0.204254,1.717032,-0.699484,-0.187823,1.718274,-0.630334,-0.253564,1.797339,-0.742557,-0.215226,1.800236,-0.643722,-0.124485,1.997032,-0.729502,-0.082245,1.909533,-0.588182,-0.179280,2.062479,-0.795202,-0.065649,1.833516,-0.476812,-0.150226,2.267369,-0.844966,0.148738,1.915913,-0.363506,-0.018995,2.108727,-0.894628,0.363248,1.998047,-0.653318,0.315306,2.239448,-0.792136,0.351138,2.132209,-0.552507,0.738508,2.148287,-0.814074,0.786695,2.046293,-0.599459,1.133820,2.223337,-0.889431,1.158140,2.189327,-0.552233,1.189193,2.086539,-0.838889,1.237589,2.069114,-0.519010,1.192678,2.159175,-0.914419,1.228868,2.093834,-0.635503,1.193972,2.268825,-0.904610,1.208392,2.254372,-0.393368,0.066372,2.049960,-0.989269,0.353942,2.048931,-0.354737,0.051534,2.048440,-0.953952,0.359499,2.069828,-0.323377,0.107596,2.028049,-0.979767,0.386460,2.125942,-0.318095,0.064079,2.092287,-0.930665,0.413129,2.071850
7135,245.063218,0,OK,97.29,-0.718429,0.321358,2.155451,-0.709169,0.262449,2.123989,-0.693480,0.154922,2.061775,-0.674853,0.049317,1.997127,-0.649277,-0.088382,1.912297,-0.658563,-0.105376,1.744776,-0.652174,-0.163868,1.722239,-0.700266,-0.147409,1.723235,-0.632664,-0.216317,1.800932,-0.744878,-0.177914,1.803256,-0.647816,-0.088243,2.005470,-0.733843,-0.049481,1.916614,-0.591745,-0.140398,2.072600,-0.799622,-0.035798,1.840087,-0.472646,-0.100946,2.271311,-0.833684,0.187618,1.904524,-0.370076,0.044806,2.118135,-0.867635,0.411130,1.968684,-0.657425,0.355193,2.237059,-0.795711,0.391087,2.129154,-0.549013,0.778229,2.154234,-0.819398,0.827239,2.046793,-0.606122,1.167958,2.248885,-0.895198,1.192911,2.203787,-0.557400,1.232671,2.116793,-0.847835,1.277058,2.085494,-0.525881,1.232599,2.190266,-0.922765,1.266718,2.111385,-0.644743,1.224322,2.297031,-0.909521,1.240678,2.270867,-0.405173,0.132332,2.065789,-0.967588,0.411931,2.009199,-0.365551,0.120447,2.063878,-0.934393,0.416831,2.033466,-0.338035,0.180064,2.048686,-0.964028,0.449707,2.084289,-0.330561,0.131954,2.109331,-0.907635,0.468850,2.034274
7136,245.094199,0,OK,97.54,-0.715971,0.340673,2.145796,-0.707178,0.281403,2.114882,-0.692308,0.172445,2.055002,-0.673600,0.064647,1.994106,-0.647654,-0.076025,1.914422,-0.653431,-0.090111,1.746473,-0.646996,-0.148261,1.723085,-0.694973,-0.131443,1.723324,-0.629591,-0.202186,1.801272,-0.741538,-0.162944,1.801832,-0.645943,-0.072388,2.007519,-0.732376,-0.037349,1.917519,-0.589295,-0.121725,2.076275,-0.798504,-0.026874,1.840786,-0.466605,-0.069803,2.269868,-0.821273,0.201186,1.892720,-0.372588,0.081766,2.116849,-0.843928,0.429320,1.944377,-0.654742,0.374750,2.227134,-0.792657,0.410793,2.118806,-0.538546,0.797618,2.154648,-0.818891,0.847358,2.039461,-0.616347,1.175356,2.278622,-0.895874,1.204812,2.213842,-0.566853,1.253515,2.154317,-0.852247,1.294372,2.098113,-0.537628,1.248505,2.228564,-0.926439,1.281973,2.125198,-0.659146,1.225463,2.330043,-0.909278,1.249590,2.283137,-0.411040,0.169494,2.067271,-0.948019,0.436031,1.971815,-0.370884,0.159533,2.065514,-0.917926,0.440854,1.999850,-0.345986,0.220889,2.052963,-0.952169,0.477367,2.044975,-0.337076,0.170917,2.111883,-0.889176,0.491772,2.001703
7137,245.121199,0,OK,96.96,-0.709309,0.350013,2.136733,-0.700985,0.290402,2.106349,-0.687061,0.180177,2.048597,-0.668822,0.070613,1.990789,-0.643325,-0.072442,1.915314,-0.647897,-0.092028,1.747880,-0.641705,-0.150963,1.726475,-0.689558,-0.133809,1.725775,-0.625305,-0.202397,1.806535,-0.736962,-0.162369,1.804902,-0.641428,-0.066017,2.008257,-0.727959,-0.033507,1.917406,-0.584676,-0.113412,2.078281,-0.794231,-0.025212,1.840530,-0.460711,-0.053571,2.268751,-0.820706,0.201169,1.897784,-0.372540,0.099565,2.113824,-0.847069,0.427627,1.954781,-0.647865,0.384294,2.217822,-0.785388,0.420528,2.109060,-0.524228,0.807056,2.158163,-0.815042,0.857241,2.031763,-0.632928,1.163836,2.316280,-0.895328,1.201657,2.229351,-0.583827,1.257926,2.203381,-0.855899,1.298217,2.117821,-0.557475,1.246894,2.278051,-0.929244,1.282888,2.145703,-0.681250,1.205250,2.370469,-0.908075,1.242333,2.301250,-0.413748,0.186834,2.065671,-0.953079,0.432813,1.973956,-0.373292,0.178196,2.063799,-0.925390,0.436221,2.004558,-0.350364,0.240521,2.052308,-0.963378,0.470334,2.048551,-0.339901,0.189879,2.110395,-0.897151,0.487006,2.011346
7138,245.152712,0,OK,96.36,-0.699170,0.344362,2.126735,-0.691251,0.284496,2.096747,-0.678168,0.173535,2.040220,-0.661077,0.062923,1.984083,-0.637045,-0.081446,1.910654,-0.641052,-0.113154,1.745074,-0.634864,-0.173498,1.728034,-0.682691,-0.156388,1.725915,-0.618816,-0.218988,1.811683,-0.730413,-0.179065,1.806738,-0.635189,-0.073738,2.003501,-0.721254,-0.041570,1.912087,-0.579013,-0.120810,2.074204,-0.787262,-0.033587,1.834953,-0.457282,-0.057737,2.265071,-0.836082,0.179283,1.921729,-0.372637,0.095164,2.107961,-0.884794,0.392266,2.008288,-0.637629,0.378673,2.207737,-0.774633,0.415294,2.098452,-0.510343,0.801544,2.157224,-0.807903,0.851946,2.022286,-0.638113,1.144201,2.331494,-0.892454,1.181720,2.241853,-0.588913,1.246294,2.225822,-0.856586,1.284576,2.134841,-0.564634,1.231960,2.300635,-0.929194,1.266365,2.162917,-0.689720,1.180689,2.386192,-0.904933,1.218442,2.315896,-0.415169,0.182081,2.060326,-0.992530,0.388015,2.011023,-0.374546,0.174224,2.058648,-0.969986,0.387299,2.045751,-0.352725,0.237072,2.047876,-1.016677,0.410661,2.088369,-0.341688,0.186104,2.105571,-0.947329,0.437468,2.065557
7139,245.188729,0,OK,96.79,-0.688791,0.321399,2.121305,-0.681149,0.261334,2.091647,-0.668588,0.150098,2.035543,-0.652632,0.039247,1.979543,-0.630298,-0.105449,1.906222,-0.639480,-0.157759,1.746167,-0.634750,-0.219882,1.736771,-0.682335,-0.202243,1.733736,-0.617091,-0.254734,1.825075,-0.728123,-0.213576,1.817993,-0.628888,-0.097785,1.999080,-0.713915,-0.064330,1.907158,-0.573927,-0.145790,2.070111,-0.779261,-0.055152,1.829594,-0.455618,-0.086151,2.264207,-0.862931,0.118298,1.964285,-0.374022,0.062788,2.101768,-0.946526,0.291909,2.098814,-0.627336,0.355716,2.202371,-0.763680,0.392680,2.092378,-0.499395,0.778489,2.152708,-0.799676,0.829104,2.016148,-0.630820,1.119345,2.327790,-0.887664,1.150162,2.246991,-0.580977,1.221841,2.222811,-0.853500,1.255555,2.141906,-0.557291,1.207359,2.297785,-0.925761,1.235915,2.169915,-0.682968,1.155564,2.382152,-0.900254,1.185249,2.321804,-0.416697,0.149033,2.053051,-1.051182,0.265922,2.096709,-0.376107,0.141045,2.051198,-1.028920,0.263139,2.131515,-0.354213,0.203655,2.039249,-1.079320,0.268278,2.175962,-0.342869,0.153598,2.097677,-1.016837,0.312136,2.161110
7140,245.221710,0,OK,96.99,-0.683750,0.285409,2.118239,-0.676308,0.225230,2.088761,-0.663923,0.114220,2.032174,-0.648511,0.003967,1.974854,-0.627079,-0.139897,1.899654,-0.645735,-0.218580,1.751669,-0.643174,-0.281522,1.752985,-0.690355,-0.262991,1.749079,-0.622038,-0.301282,1.845109,-0.732127,-0.258043,1.835997,-0.626256,-0.133555,1.992618,-0.710292,-0.097968,1.900587,-0.572343,-0.183116,2.063383,-0.775110,-0.086653,1.822862,-0.460191,-0.137714,2.264847,-0.873708,0.057049,1.980518,-0.382137,-0.001324,2.090112,-0.972249,0.200918,2.138056,-0.622475,0.319580,2.199504,-0.758107,0.357035,2.088798,-0.495653,0.742008,2.144336,-0.795459,0.793116,2.011269,-0.621765,1.088607,2.311888,-0.885869,1.113115,2.242648,-0.571503,1.187257,2.203482,-0.851482,1.217432,2.136568,-0.547252,1.174590,2.278604,-0.923823,1.197910,2.164450,-0.672797,1.127169,2.365696,-0.898906,1.148991,2.317008,-0.423214,0.083395,2.037499,-1.075527,0.170627,2.131072,-0.383076,0.073605,2.034698,-1.052513,0.161457,2.164254,-0.359194,0.134359,2.017942,-1.102270,0.154127,2.209116,-0.347586,0.087655,2.079034,-1.042298,0.203353,2.203789
7141,245.253353,0,OK,96.74,-0.683703,0.244143,2.117725,-0.676409,0.183936,2.088268,-0.663874,0.073477,2.030643,-0.648512,-0.035714,1.971315,-0.627296,-0.178107,1.893303,-0.656690,-0.275216,1.758603,-0.656316,-0.337453,1.768422,-0.702945,-0.317619,1.764299,-0.630975,-0.345454,1.861255,-0.739777,-0.299174,1.851633,-0.627102,-0.173693,1.986383,-0.710293,-0.135759,1.894520,-0.574021,-0.224961,2.056557,-0.774722,-0.121981,1.816869,-0.468971,-0.200068,2.265296,-0.881101,0.003890,1.984401,-0.396854,-0.088883,2.071223,-0.987431,0.129915,2.151849,-0.622682,0.277986,2.199316,-0.757548,0.316148,2.087918,-0.498003,0.699693,2.134582,-0.794586,0.751694,2.007290,-0.610744,1.056991,2.288649,-0.886128,1.078378,2.228663,-0.561214,1.148640,2.173943,-0.849647,1.178194,2.119011,-0.534996,1.139041,2.248858,-0.922476,1.160269,2.146696,-0.659017,1.099630,2.341923,-0.899856,1.117249,2.301375,-0.434614,-0.007456,2.011419,-1.091056,0.100156,2.148853,-0.396008,-0.021665,2.006672,-1.064741,0.084069,2.176486,-0.368243,0.033727,1.980160,-1.109558,0.065789,2.223385,-0.355343,-0.006055,2.045727,-1.050175,0.116008,2.223287
7142,245.289832,0,OK,97.20,-0.687093,0.206261,2.125823,-0.679985,0.146001,2.096426,-0.667413,0.036176,2.037612,-0.652020,-0.071596,1.975750,-0.630850,-0.211971,1.894152,-0.665765,-0.320460,1.769856,-0.666269,-0.381518,1.785397,-0.712620,-0.361176,1.780662,-0.638510,-0.381447,1.877882,-0.746663,-0.333981,1.866834,-0.630894,-0.209955,1.987315,-0.713775,-0.169517,1.896244,-0.578150,-0.263009,2.056408,-0.778381,-0.153070,1.819263,-0.480039,-0.266012,2.269932,-0.888143,-0.039249,1.993114,-0.404435,-0.184496,2.062891,-0.997861,0.074707,2.166904,-0.626196,0.239856,2.207609,-0.760485,0.278602,2.095717,-0.503780,0.660280,2.131247,-0.795997,0.713310,2.010036,-0.599751,1.029454,2.267662,-0.886923,1.050042,2.216077,-0.551399,1.112336,2.145995,-0.847664,1.143870,2.102180,-0.522823,1.106287,2.220417,-0.921093,1.128186,2.129639,-0.644635,1.076849,2.319869,-0.901200,1.092626,2.286571,-0.430491,-0.103354,1.996786,-1.100903,0.042925,2.169156,-0.396590,-0.126295,1.990523,-1.071731,0.023230,2.190971,-0.360839,-0.081639,1.954888,-1.111332,-0.003843,2.238310,-0.349384,-0.116245,2.023586,-1.052851,0.047362,2.240809
7143,245.324834,0,OK,96.52,-0.690162,0.173495,2.129658,-0.683237,0.113176,2.100339,-0.670529,0.004283,2.039846,-0.654917,-0.101529,1.974739,-0.633539,-0.239153,1.888636,-0.668679,-0.355042,1.771276,-0.669039,-0.415044,1.790500,-0.715437,-0.395090,1.784688,-0.640989,-0.409315,1.882720,-0.749250,-0.362754,1.869158,-0.633444,-0.240137,1.981815,-0.716561,-0.196990,1.892213,-0.580519,-0.295333,2.049066,-0.781779,-0.177855,1.816378,-0.477872,-0.317906,2.259259,-0.891445,-0.071570,1.994995,-0.409365,-0.258523,2.042447,-1.001076,0.034827,2.173566,-0.629301,0.206930,2.211537,-0.763197,0.246102,2.099322,-0.508827,0.625518,2.122978,-0.796372,0.680088,2.009165,-0.586179,1.006194,2.237918,-0.885593,1.026995,2.198385,-0.539147,1.079027,2.109491,-0.843143,1.114900,2.080962,-0.508172,1.076688,2.183159,-0.917225,1.101524,2.107884,-0.627361,1.058619,2.288339,-0.900373,1.072988,2.266596,-0.427797,-0.179184,1.971748,-1.102886,-0.000336,2.179126,-0.400462,-0.209266,1.963832,-1.072049,-0.020314,2.198226,-0.361962,-0.176254,1.919446,-1.108309,-0.051351,2.245808,-0.347947,-0.206955,1.989512,-1.051298,0.001481,2.248396
